mu,sigma,pstar_true,pistar_true,CLferror,CRferror1,CRferror2,CRferror3,CRferror4,CRferror5,estcr1,estcr2,estcr3,estcr4,estcr5,eprice_T,beta1_T,beta2_T,,True World
10,11.051,12.03169368,10.27667203,-0.0437393,-0.0798522,0.004003958,-0.018077705,-0.003182162,0.008650267,12.11154588,12.02768973,12.04977139,12.03487585,12.02304342,11.98795438,1.714186417,-0.071494906,,
10,11.052,12.03238032,10.27682907,0.009990768,-0.031817512,0.01920316,-0.01713991,0.013463121,-0.055619989,12.06419783,12.01317716,12.04952023,12.0189172,12.08800031,12.04237109,1.707330013,-0.070889899,,
10,11.053,12.03306691,10.27698615,0.007327124,0.042060488,-0.020517582,0.096896547,0.003184384,-0.004291459,11.99100643,12.0535845,11.93617037,12.02988253,12.03735837,12.04039404,1.708394319,-0.070942941,,
10,11.054,12.03375359,10.27714326,-0.003551465,0.032614247,0.123257681,0.01356608,-0.057817627,0.043689058,12.00113934,11.91049591,12.02018751,12.09157121,11.99006453,12.03020212,1.708911195,-0.07102664,,
10,11.055,12.03444022,10.2773004,-0.004100202,-0.090129433,0.015560156,0.041712916,-0.065902727,0.062857838,12.12456965,12.01888007,11.99272731,12.10034295,11.97158238,12.03034002,1.709479437,-0.071050676,,
10,11.056,12.03512689,10.27745758,-0.021885972,0.017254946,0.030450774,-0.131043231,-0.067749431,0.019948839,12.01787195,12.00467612,12.16617013,12.10287633,12.01517806,12.01324092,1.711218679,-0.071222252,,
10,11.057,12.03581357,10.27761479,-0.000215756,0.063782976,0.065951233,-0.08353786,0.083301008,-0.009675095,11.97203059,11.96986234,12.11935143,11.95251256,12.04548866,12.03559781,1.709008179,-0.070998148,,
10,11.058,12.03650026,10.27777203,-0.040047028,0.002647705,-0.007863605,-0.072010268,0.035124753,0.030054239,12.03385256,12.04436387,12.10851053,12.00137551,12.00644602,11.99645323,1.714400251,-0.071455665,,
10,11.059,12.03718695,10.2779293,0.073360183,0.071206788,-0.089370765,0.018262703,0.05654225,0.077384826,11.96598017,12.12655772,12.01892425,11.9806447,11.95980213,12.11054714,1.69872792,-0.070138251,,
10,11.06,12.03787367,10.2780866,-0.028185142,0.111694303,0.064217064,-0.078964807,-0.004627018,0.020580315,11.92617936,11.9736566,12.11683847,12.04250068,12.01729335,12.00968852,1.712282253,-0.071287563,,
10,11.061,12.03856042,10.27824394,-0.012148562,0.035314454,0.073105797,-0.090497262,0.039634183,-0.063899764,12.00324596,11.96545462,12.12905768,11.99892624,12.10246018,12.02641186,1.70998136,-0.071092867,,
10,11.062,12.03924713,10.27840131,0.031246487,-0.037302928,0.019825574,0.043394004,0.061043598,0.012380394,12.07655006,12.01942156,11.99585313,11.97820353,12.02686674,12.07049362,1.704410321,-0.070602649,,
10,11.063,12.03993388,10.27855871,0.007401574,-0.065525786,0.073949021,-0.046456471,0.094998548,-0.037362094,12.10545967,11.96598486,12.08639035,11.94493533,12.07729598,12.04733546,1.706736856,-0.070830459,,
10,11.064,12.04062063,10.27871614,0.044591962,-0.020056216,-0.024088712,-0.127476027,0.064423166,-0.077450692,12.06067685,12.06470935,12.16809666,11.97619747,12.11807133,12.0852126,1.702339488,-0.070432686,,
10,11.065,12.04130743,10.27887361,0.027483149,-0.055602944,-0.05254434,-0.016371645,0.028041369,-0.046983554,12.09691037,12.09385177,12.05767907,12.01326606,12.08829098,12.06879057,1.704587144,-0.070620556,,
10,11.066,12.04199422,10.2790311,-0.02354337,0.062790618,-0.009673757,-0.059182703,0.099013579,0.029820299,11.9792036,12.05166797,12.10117692,11.94298064,12.01217392,12.01845085,1.711023889,-0.071184533,,
10,11.067,12.04268101,10.27918863,0.01331691,-0.040545904,-0.02128701,0.041306338,-0.011325182,0.018690931,12.08322691,12.06396802,12.00137467,12.05400619,12.02399008,12.05599792,1.705514675,-0.070730893,,
